Date,Dow Jones,MSCI World,Fundsmith Equity,LindsellTrain Global Eq
12/02/2016,15973.84,1486.45,223.21,1.7713
15/02/2016,15973.84,1503.96,228.72,1.8437
16/02/2016,16196.41,1519.94,229.72,1.8501
17/02/2016,16453.83,1544.32,233.2,1.869
18/02/2016,16413.43,1543.51,234.08,1.893
19/02/2016,16391.99,1538.17,234.54,1.8929
22/02/2016,16620.66,1558.02,238.32,1.9294
23/02/2016,16431.78,1540.7,238.75,1.9352
24/02/2016,16484.99,1534.69,239.5,1.9497
25/02/2016,16697.29,1553.9,241.36,1.972
26/02/2016,16639.97,1554.47,243.93,1.9886
29/02/2016,16516.5,1547.17,243.5,1.9798
01/03/2016,16865.08,1575.31,242.72,1.9893
02/03/2016,16899.32,1588.08,244.26,1.9977
03/03/2016,16943.9,1598.26,243.16,1.9945
04/03/2016,17006.77,1608.04,243.18,1.9975
07/03/2016,17073.95,1607.63,242.79,1.9806
08/03/2016,16964.1,1593.66,240.91,1.9776
09/03/2016,17000.36,1598.47,241.16,1.9822
10/03/2016,16995.13,1597.09,242.74,1.9877
11/03/2016,17213.31,1626.17,241.78,1.9745
14/03/2016,17229.13,1627.5,243.67,1.9826
15/03/2016,17251.53,1619.16,245.86,2.0057
16/03/2016,17325.76,1621.47,246.6,2.0054
17/03/2016,17481.49,1643,243.26,2.0054
18/03/2016,17602.3,1645.57,243.42,1.9794
21/03/2016,17623.87,1643.68,244.55,1.9825
22/03/2016,17582.57,1643.58,245.47,2.0011
23/03/2016,17502.59,1631.27,247.7,2.0167
24/03/2016,17515.73,1622.21,247.99,2.0139
25/03/2016,17515.73,1623.71,247.99,2.0139
28/03/2016,17535.39,1627.63,247.99,2.0139
29/03/2016,17633.11,1635.87,246.24,2.0075
30/03/2016,17716.66,1652.89,248.22,2.0134
31/03/2016,17685.09,1648.12,248.45,1.9989
01/04/2016,17792.75,1640.14,248.29,1.9744
04/04/2016,17737,1640.75,252.53,2.0113
05/04/2016,17603.32,1618.53,251.47,1.993
06/04/2016,17716.05,1633.41,252.34,2.0068
07/04/2016,17541.96,1621.66,254.48,2.0296
08/04/2016,17576.96,1632.2,253.31,2.0252
11/04/2016,17556.41,1632.14,251.97,2.01
12/04/2016,17721.25,1644.22,249.72,1.9962
13/04/2016,17908.28,1666.17,252.29,2.0136
14/04/2016,17926.43,1671.96,254.64,2.0498
15/04/2016,17897.46,1670.47,253.22,2.041
18/04/2016,18004.16,1675.32,254.03,2.0346
19/04/2016,18053.6,1692.91,254.35,2.0427
20/04/2016,18096.27,1695.05,253.96,2.0469
21/04/2016,17982.52,1690.45,251.6,2.0415
22/04/2016,18003.75,1686.17,249.61,2.0185
25/04/2016,17977.24,1682.68,247.83,2.005
26/04/2016,17990.32,1685.65,246.38,1.9927
27/04/2016,18041.55,1685.95,245.24,1.9838
28/04/2016,17830.76,1677.34,246.21,1.9893
29/04/2016,17773.64,1670.8,245.51,1.9859
02/05/2016,17891.16,1675.64,245.51,1.9859
03/05/2016,17750.91,1658.64,245.85,1.9708
04/05/2016,17651.26,1644.01,247.14,1.9746
05/05/2016,17660.71,1641.16,247.64,1.9738
06/05/2016,17740.63,1643.19,247.1,1.9738
09/05/2016,17705.91,1642.89,250.22,1.9983
10/05/2016,17928.35,1662.31,251.33,2.0077
11/05/2016,17711.12,1653.38,253.2,2.0113
12/05/2016,17720.5,1649.91,252.07,2.0053
13/05/2016,17535.32,1635.92,251.71,1.9973
16/05/2016,17710.71,1648.49,251.4,2.0124
17/05/2016,17529.98,1641.63,251.49,2.0085
18/05/2016,17526.62,1641.15,248.07,1.9872
19/05/2016,17435.4,1627.61,244.63,1.9613
20/05/2016,17500.94,1639.85,245.7,1.9696
23/05/2016,17492.93,1635.62,247.31,1.9808
24/05/2016,17706.05,1654.36,246.38,1.9671
25/05/2016,17851.51,1668.87,248.29,1.9851
26/05/2016,17828.29,1672.12,248.34,1.9813
27/05/2016,17873.22,1676.07,248.88,1.9936
30/05/2016,17873.22,1676.84,248.88,1.9936
31/05/2016,17787.2,1674.61,250.11,2.011
01/06/2016,17789.67,1672.86,251.41,2.0221
02/06/2016,17838.56,1673.77,252.3,2.0276
03/06/2016,17807.06,1678.58,253.54,2.0317
